Timestamp, accx, accy, accz
2022-11-20 13:55:38.678,7.59,7.68,4.33
2022-11-20 13:55:39.682,8.27,4.04,2.68
2022-11-20 13:55:40.687,8.30,4.95,-1.72
2022-11-20 13:55:41.691,10.14,2.55,-1.11
2022-11-20 13:55:42.695,6.36,-0.34,11.99
2022-11-20 13:55:43.699,5.15,8.04,0.51
2022-11-20 13:55:44.704,9.66,-1.33,1.53
2022-11-20 13:55:45.708,-4.00,9.80,-1.86
2022-11-20 13:55:46.712,7.46,4.76,4.02
2022-11-20 13:55:47.716,9.38,-2.68,-2.97
2022-11-20 13:55:48.720,7.01,6.80,0.38
2022-11-20 13:55:49.724,4.14,8.11,5.80
2022-11-20 13:55:50.729,4.94,5.40,2.85
2022-11-20 13:55:51.733,8.46,3.33,3.69
2022-11-20 13:55:52.737,9.28,-1.59,1.84
2022-11-20 13:55:53.741,3.89,8.63,3.06
2022-11-20 13:55:54.746,2.69,9.70,3.58
2022-11-20 13:55:55.749,2.05,10.69,3.82
2022-11-20 13:55:56.753,1.27,9.24,2.14
2022-11-20 13:55:57.757,0.42,8.69,2.11
2022-11-20 13:55:58.762,2.30,8.67,3.11
2022-11-20 13:55:59.766,2.86,10.03,3.60
2022-11-20 13:56:00.771,3.51,9.96,4.07
2022-11-20 13:56:01.775,0.40,8.21,1.90
2022-11-20 13:56:02.779,1.35,8.79,3.15
2022-11-20 13:56:03.784,2.97,9.78,3.81
2022-11-20 13:56:04.787,1.37,7.47,2.71
2022-11-20 13:56:05.791,4.75,10.25,5.08
2022-11-20 13:56:06.796,4.69,11.19,5.30
2022-11-20 13:56:07.801,5.25,11.27,5.92
2022-11-20 13:56:08.804,3.54,10.46,4.49
2022-11-20 13:56:09.808,2.39,8.53,3.28
2022-11-20 13:56:10.812,2.29,6.44,2.04
2022-11-20 13:56:11.817,5.40,10.41,6.13
2022-11-20 13:56:12.821,4.79,10.92,6.14
2022-11-20 13:56:13.826,3.02,10.57,5.04
2022-11-20 13:56:14.829,5.49,9.85,4.56
2022-11-20 13:56:15.832,2.72,8.68,3.84
2022-11-20 13:56:16.837,2.42,9.78,3.54
2022-11-20 13:56:17.842,0.09,7.57,2.06
2022-11-20 13:56:18.847,1.44,7.41,1.92
2022-11-20 13:56:19.850,5.35,10.78,5.56
2022-11-20 13:56:20.854,5.52,11.08,6.05
2022-11-20 13:56:21.858,4.62,10.21,5.53
2022-11-20 13:56:22.863,2.36,8.94,4.31
2022-11-20 13:56:23.867,3.51,10.08,5.37
2022-11-20 13:56:24.870,1.83,10.17,4.69
2022-11-20 13:56:25.875,1.48,7.05,2.14
2022-11-20 13:56:26.880,16.41,17.37,13.64
2022-11-20 13:56:27.884,2.19,9.80,4.48
2022-11-20 13:56:28.888,1.15,10.46,4.05
2022-11-20 13:56:29.892,3.06,7.43,4.00
2022-11-20 13:56:30.896,1.88,8.03,3.78
2022-11-20 13:56:31.901,2.75,9.18,4.16
2022-11-20 13:56:32.905,2.54,9.00,4.35
2022-11-20 13:56:33.908,3.57,9.67,4.79
2022-11-20 13:56:34.913,-2.17,6.66,2.83
2022-11-20 13:56:35.918,1.81,10.92,4.97
2022-11-20 13:56:36.922,3.88,8.05,4.49
2022-11-20 13:56:37.926,-8.51,14.43,4.03
2022-11-20 13:56:38.930,3.58,9.00,5.18
2022-11-20 13:56:39.935,7.12,-3.47,1.48
2022-11-20 13:56:40.939,2.43,12.97,5.50
2022-11-20 13:56:41.943,2.87,9.45,4.22
2022-11-20 13:56:42.947,1.87,9.35,4.40
2022-11-20 13:56:43.951,2.22,9.13,4.50
2022-11-20 13:56:44.955,1.58,9.30,3.94
2022-11-20 13:56:45.960,2.18,9.08,3.49
2022-11-20 13:56:46.963,2.56,9.94,3.78
2022-11-20 13:56:47.968,3.16,8.71,1.10
2022-11-20 13:56:48.972,0.35,-7.38,2.21
2022-11-20 13:56:49.976,3.19,9.00,3.28
